table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Race Alone Group: Black or African American,,,,,,,,,,,,
"Sex, Age, and Hispanic Origin","April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..55 to 59 years,"2,171,977","2,172,146","2,189,807","2,264,734","2,357,152","2,431,831","2,493,967","2,551,971","2,585,506","2,596,531","2,608,144","2,612,639"
..60 to 64 years,"1,661,415","1,661,507","1,684,669","1,801,651","1,857,948","1,917,048","1,986,125","2,056,627","2,127,222","2,213,616","2,282,882","2,340,884"
..65 to 69 years,"1,145,325","1,145,389","1,153,020","1,189,088","1,275,573","1,354,858","1,446,080","1,545,931","1,651,594","1,700,419","1,752,508","1,814,861"
..70 to 74 years,"839,061","839,115","844,688","868,453","901,650","944,598","984,518","1,022,019","1,055,347","1,133,413","1,204,612","1,285,799"
..75 to 79 years,"607,599","607,679","611,504","632,660","649,803","667,334","686,694","709,363","731,186","759,473","797,124","831,780"
..80 to 84 years,"418,415","418,463","420,770","426,579","435,432","446,736","458,606","472,257","490,384","504,150","519,253","535,153"
..85 years and over,"377,077","377,192","381,353","394,973","409,406","421,378","435,611","451,918","465,512","479,426","495,517","511,540"
,,,,,,,,,,,,
..Under 18 years,"10,449,053","10,449,309","10,423,822","10,321,053","10,233,832","10,179,496","10,161,514","10,147,673","10,132,602","10,108,841","10,051,876","10,007,157"
...Under 5 years,"2,780,317","2,780,330","2,779,550","2,774,793","2,752,259","2,730,659","2,730,760","2,737,947","2,738,279","2,731,612","2,711,876","2,684,389"
...5 to 13 years,"5,113,135","5,113,173","5,110,186","5,092,836","5,088,318","5,088,296","5,056,238","5,037,710","5,045,922","5,058,787","5,065,169","5,070,715"
...14 to 17 years,"2,555,601","2,555,806","2,534,086","2,453,424","2,393,255","2,360,541","2,374,516","2,372,016","2,348,401","2,318,442","2,274,831","2,252,053"
..18 to 64 years,"24,085,992","24,089,107","24,178,314","24,546,572","24,850,454","25,102,917","25,315,734","25,513,417","25,704,674","25,882,711","26,039,814","26,161,198"
...18 to 24 years,"4,402,172","4,402,777","4,435,877","4,563,052","4,662,244","4,702,046","4,668,435","4,587,648","4,494,744","4,402,130","4,332,696","4,266,223"
...25 to 44 years,"10,421,421","10,422,994","10,432,797","10,478,236","10,568,116","10,682,258","10,847,990","11,029,536","11,225,486","11,433,256","11,636,229","11,837,638"
...45 to 64 years,"9,262,399","9,263,336","9,309,640","9,505,284","9,620,094","9,718,613","9,799,309","9,896,233","9,984,444","10,047,325","10,070,889","10,057,337"
..65 years and over,"3,387,477","3,387,838","3,411,335","3,511,753","3,671,864","3,834,904","4,011,509","4,201,488","4,394,023","4,576,881","4,769,014","4,979,133"
..85 years and over,"377,077","377,192","381,353","394,973","409,406","421,378","435,611","451,918","465,512","479,426","495,517","511,540"
,,,,,,,,,,,,
..16 years and over,"28,808,137","28,811,744","28,916,107","29,335,384","29,738,378","30,123,052","30,513,863","30,900,018","31,296,647","31,656,576","31,968,128","32,269,791"
..18 years and over,"27,473,469","27,476,945","27,589,649","28,058,325","28,522,318","28,937,821","29,327,243","29,714,905","30,098,697","30,459,592","30,808,828","31,140,331"
..15 to 44 years,"16,784,998","16,787,347","16,815,105","16,907,757","17,035,260","17,159,811","17,290,225","17,405,134","17,504,489","17,598,647","17,685,144","17,793,669"
,,,,,,,,,,,,
..Median age (years),32.7,32.7,32.7,32.9,33.1,33.3,33.6,33.8,34.0,34.2,34.4,34.6
..MALE,"18,068,911","18,071,580","18,116,179","18,300,933","18,492,535","18,674,207","18,860,103","19,048,208","19,229,784","19,393,851","19,534,542","19,674,412"
...Under 5 years,"1,409,024","1,409,030","1,408,882","1,407,392","1,395,523","1,385,218","1,385,436","1,388,909","1,387,518","1,383,386","1,373,132","1,360,183"
...5 to 9 years,"1,408,025","1,408,031","1,403,830","1,395,693","1,405,992","1,420,858","1,425,477","1,426,833","1,427,757","1,417,982","1,407,627","1,407,110"
...10 to 14 years,"1,491,201","1,491,241","1,489,759","1,487,547","1,475,197","1,456,560","1,441,941","1,421,491","1,414,678","1,426,458","1,441,865","1,446,630"
...15 to 19 years,"1,699,866","1,700,127","1,693,536","1,646,164","1,597,947","1,555,723","1,523,330","1,514,913","1,513,609","1,501,766","1,482,020","1,466,375"
...20 to 24 years,"1,493,950","1,494,238","1,512,521","1,592,342","1,667,637","1,721,917","1,742,507","1,722,038","1,675,375","1,627,079","1,583,325","1,549,642"
...25 to 29 years,"1,299,698","1,300,064","1,304,240","1,326,396","1,355,846","1,396,739","1,462,287","1,538,996","1,621,060","1,693,138","1,743,597","1,761,163"
...30 to 34 years,"1,210,569","1,210,896","1,219,761","1,252,161","1,279,814","1,304,793","1,319,234","1,329,997","1,354,548","1,382,936","1,421,730","1,484,681"
...35 to 39 years,"1,198,361","1,198,612","1,194,746","1,167,913","1,162,928","1,171,147","1,196,512","1,234,156","1,267,797","1,294,848","1,318,698","1,331,788"
...40 to 44 years,"1,234,570","1,234,816","1,232,368","1,234,307","1,237,423","1,230,217","1,217,769","1,196,925","1,171,891","1,165,337","1,171,638","1,194,773"
...45 to 49 years,"1,308,933","1,309,233","1,307,481","1,293,685","1,272,107","1,249,304","1,223,249","1,215,085","1,218,305","1,221,591","1,214,227","1,201,680"
...50 to 54 years,"1,242,326","1,242,546","1,247,154","1,262,965","1,268,199","1,273,039","1,274,999","1,267,860","1,255,253","1,234,349","1,212,339","1,187,113"
...55 to 59 years,"995,521","995,646","1,003,938","1,040,234","1,084,586","1,121,719","1,152,827","1,181,026","1,196,951","1,202,300","1,206,850","1,208,671"
...60 to 64 years,"747,245","747,317","757,700","809,081","832,841","858,939","889,651","922,577","956,174","997,043","1,031,302","1,060,035"
...65 to 69 years,"496,772","496,812","500,208","517,220","556,055","591,765","631,640","675,457","720,195","739,543","761,346","788,098"
...70 to 74 years,"348,684","348,711","351,383","361,511","376,149","394,262","411,097","427,426","442,378","476,416","507,255","541,415"
...75 to 79 years,"234,235","234,279","236,203","245,895","254,045","262,032","271,198","281,033","289,824","301,667","317,004","331,089"
...80 to 84 years,"144,373","144,393","145,462","148,559","152,937","158,455","164,281","170,596","178,405","184,533","190,954","198,073"
...85 years and over,"105,558","105,588","107,007","111,868","117,309","121,520","126,668","132,890","138,066","143,479","149,633","155,893"
,,,,,,,,,,,,
...Under 18 years,"5,309,037","5,309,215","5,295,695","5,240,065","5,193,240","5,163,578","5,153,674","5,145,862","5,135,826","5,121,969","5,091,352","5,068,948"
....Under 5 years,"1,409,024","1,409,030","1,408,882","1,407,392","1,395,523","1,385,218","1,385,436","1,388,909","1,387,518","1,383,386","1,373,132","1,360,183"
....5 to 13 years,"2,596,954","2,596,976","2,595,485","2,585,380","2,582,107","2,580,085","2,561,982","2,552,170","2,556,642","2,563,594","2,566,574","2,568,720"
....14 to 17 years,"1,303,059","1,303,209","1,291,328","1,247,293","1,215,610","1,198,275","1,206,256","1,204,783","1,191,666","1,174,989","1,151,646","1,140,045"
...18 to 64 years,"11,430,252","11,432,582","11,480,221","11,675,815","11,842,800","11,982,595","12,101,545","12,214,944","12,325,090","12,426,244","12,516,998","12,590,896"
....18 to 24 years,"2,193,029","2,193,452","2,212,833","2,289,073","2,349,056","2,376,698","2,365,017","2,328,322","2,283,111","2,234,702","2,196,617","2,160,992"
....25 to 44 years,"4,943,198","4,944,388","4,951,115","4,980,777","5,036,011","5,102,896","5,195,802","5,300,074","5,415,296","5,536,259","5,655,663","5,772,405"
....45 to 64 years,"4,294,025","4,294,742","4,316,273","4,405,965","4,457,733","4,503,001","4,540,726","4,586,548","4,626,683","4,655,283","4,664,718","4,657,499"
...65 years and over,"1,329,622","1,329,783","1,340,263","1,385,053","1,456,495","1,528,034","1,604,884","1,687,402","1,768,868","1,845,638","1,926,192","2,014,568"
...85 years and over,"105,558","105,588","107,007","111,868","117,309","121,520","126,668","132,890","138,066","143,479","149,633","155,893"
,,,,,,,,,,,,
...16 years and over,"13,441,511","13,444,103","13,497,831","13,711,412","13,917,060","14,111,545","14,308,806","14,504,477","14,702,617","14,879,228","15,030,255","15,176,760"
...18 years and over,"12,759,874","12,762,365","12,820,484","13,060,868","13,299,295","13,510,629","13,706,429","13,902,346","14,093,958","14,271,882","14,443,190","14,605,464"
...15 to 44 years,"8,137,014","8,138,753","8,157,172","8,219,283","8,301,595","8,380,536","8,461,639","8,537,025","8,604,280","8,665,104","8,721,008","8,788,422"
,,,,,,,,,,,,
...Median age (years),30.9,30.9,30.9,31.1,31.3,31.5,31.7,31.9,32.1,32.3,32.5,32.7
..FEMALE,"19,853,611","19,854,674","19,897,292","20,078,445","20,263,615","20,443,110","20,628,654","20,814,370","21,001,515","21,174,582","21,326,162","21,473,076"
